pk,model,member,date,hours
4705,mks.weeklypresence,830,2010-02-21,28.0
4706,mks.weeklypresence,830,2010-02-28,22.0
4707,mks.weeklypresence,830,2010-03-07,23.0
4708,mks.weeklypresence,830,2010-03-14,37.0
4709,mks.weeklypresence,830,2010-03-21,5.0
4710,mks.weeklypresence,830,2010-04-04,6.0
4711,mks.weeklypresence,830,2010-04-11,1.0
4712,mks.weeklypresence,830,2010-04-18,0.0
4713,mks.weeklypresence,830,2010-04-25,29.0
4714,mks.weeklypresence,830,2010-05-02,16.0
4715,mks.weeklypresence,830,2010-05-09,26.0
4716,mks.weeklypresence,830,2010-05-16,5.0
4717,mks.weeklypresence,100,2009-11-15,7.0
4718,mks.weeklypresence,100,2009-11-29,3.0
4719,mks.weeklypresence,100,2009-12-13,13.0
4720,mks.weeklypresence,100,2009-12-20,32.0
4721,mks.weeklypresence,100,2009-12-27,0.0
4722,mks.weeklypresence,845,2009-11-15,28.0
4723,mks.weeklypresence,845,2009-11-29,7.0
4724,mks.weeklypresence,845,2009-12-13,27.0
4725,mks.weeklypresence,845,2009-12-20,31.0
4726,mks.weeklypresence,845,2009-12-27,19.0
4727,mks.weeklypresence,845,2010-01-03,34.0
4728,mks.weeklypresence,845,2010-01-10,22.0
4729,mks.weeklypresence,845,2010-01-17,18.0
4730,mks.weeklypresence,845,2010-01-24,18.0
4731,mks.weeklypresence,845,2010-01-31,8.0
4732,mks.weeklypresence,845,2010-02-07,17.0
4733,mks.weeklypresence,845,2010-02-14,33.0
4734,mks.weeklypresence,845,2010-02-21,27.0
4735,mks.weeklypresence,845,2010-02-28,21.0
4736,mks.weeklypresence,845,2010-03-07,30.0
4737,mks.weeklypresence,845,2010-03-14,48.0
4738,mks.weeklypresence,845,2010-03-21,7.0
4739,mks.weeklypresence,845,2010-04-04,26.0
4740,mks.weeklypresence,845,2010-04-11,26.0
4741,mks.weeklypresence,845,2010-04-18,8.0
4742,mks.weeklypresence,845,2010-04-25,21.0
4743,mks.weeklypresence,845,2010-05-02,30.0
4744,mks.weeklypresence,845,2010-05-09,27.0
4745,mks.weeklypresence,845,2010-05-16,11.0
4746,mks.weeklypresence,713,2009-11-15,34.0
4747,mks.weeklypresence,713,2009-11-29,5.0
4748,mks.weeklypresence,713,2009-12-13,29.0
4749,mks.weeklypresence,713,2009-12-20,30.0
4750,mks.weeklypresence,713,2009-12-27,9.0
4751,mks.weeklypresence,713,2010-01-03,27.0
4752,mks.weeklypresence,713,2010-01-10,34.0
4753,mks.weeklypresence,713,2010-01-17,25.0
4754,mks.weeklypresence,713,2010-01-24,14.0
4755,mks.weeklypresence,713,2010-01-31,20.0
4756,mks.weeklypresence,713,2010-02-07,38.0
4757,mks.weeklypresence,713,2010-02-14,22.0
4758,mks.weeklypresence,713,2010-02-21,11.0
4759,mks.weeklypresence,713,2010-02-28,17.0
4760,mks.weeklypresence,713,2010-03-07,31.0
4761,mks.weeklypresence,713,2010-03-14,47.0
4762,mks.weeklypresence,713,2010-03-21,19.0
4763,mks.weeklypresence,713,2010-04-04,12.0
4764,mks.weeklypresence,713,2010-04-11,26.0
4765,mks.weeklypresence,713,2010-04-18,21.0
4766,mks.weeklypresence,713,2010-04-25,29.0
4767,mks.weeklypresence,713,2010-05-02,37.0
4768,mks.weeklypresence,713,2010-05-09,35.0
4769,mks.weeklypresence,713,2010-05-16,16.0
4770,mks.weeklypresence,814,2009-11-15,34.0
4771,mks.weeklypresence,814,2009-11-29,16.0
4772,mks.weeklypresence,814,2009-12-13,27.0
4773,mks.weeklypresence,814,2009-12-20,37.0
4774,mks.weeklypresence,814,2009-12-27,36.0
4775,mks.weeklypresence,814,2010-01-03,44.0
4776,mks.weeklypresence,814,2010-01-10,39.0
4777,mks.weeklypresence,814,2010-01-17,42.0
4778,mks.weeklypresence,814,2010-01-24,55.0
4779,mks.weeklypresence,814,2010-01-31,27.0
4780,mks.weeklypresence,814,2010-02-07,41.0
4781,mks.weeklypresence,814,2010-02-14,44.0
4782,mks.weeklypresence,814,2010-02-21,35.0
4783,mks.weeklypresence,814,2010-02-28,19.0
4784,mks.weeklypresence,814,2010-03-07,26.0
4785,mks.weeklypresence,814,2010-03-14,37.0
4786,mks.weeklypresence,814,2010-03-21,32.0
4787,mks.weeklypresence,814,2010-04-04,61.0
4788,mks.weeklypresence,814,2010-04-11,29.0
4789,mks.weeklypresence,814,2010-04-18,28.0
4790,mks.weeklypresence,814,2010-04-25,38.0
4791,mks.weeklypresence,814,2010-05-02,36.0
4792,mks.weeklypresence,814,2010-05-09,43.0
4793,mks.weeklypresence,814,2010-05-16,21.0
4794,mks.weeklypresence,822,2009-11-15,19.0
4795,mks.weeklypresence,822,2009-11-29,3.0
4796,mks.weeklypresence,822,2009-12-13,20.0
4797,mks.weeklypresence,822,2009-12-20,25.0
4798,mks.weeklypresence,822,2009-12-27,9.0
4799,mks.weeklypresence,822,2010-01-03,24.0
4800,mks.weeklypresence,822,2010-01-10,21.0
4801,mks.weeklypresence,822,2010-01-17,26.0
4802,mks.weeklypresence,822,2010-01-24,13.0
4803,mks.weeklypresence,822,2010-01-31,27.0
4804,mks.weeklypresence,822,2010-02-07,13.0
4805,mks.weeklypresence,822,2010-02-14,32.0
4806,mks.weeklypresence,822,2010-02-21,27.0
4807,mks.weeklypresence,822,2010-02-28,20.0
4808,mks.weeklypresence,822,2010-03-07,27.0
4809,mks.weeklypresence,822,2010-03-14,32.0
4810,mks.weeklypresence,822,2010-03-21,12.0
4811,mks.weeklypresence,822,2010-04-04,21.0
4812,mks.weeklypresence,822,2010-04-11,6.0
4813,mks.weeklypresence,822,2010-04-18,0.0
4814,mks.weeklypresence,822,2010-04-25,25.0
4815,mks.weeklypresence,822,2010-05-02,27.0
4816,mks.weeklypresence,822,2010-05-09,24.0
4817,mks.weeklypresence,822,2010-05-16,16.0
4818,mks.weeklypresence,717,2009-11-15,16.0
4819,mks.weeklypresence,717,2009-11-29,10.0
4820,mks.weeklypresence,717,2009-12-13,3.0
4821,mks.weeklypresence,717,2009-12-20,9.0
4822,mks.weeklypresence,717,2009-12-27,8.0
4823,mks.weeklypresence,717,2010-01-03,9.0
4824,mks.weeklypresence,717,2010-01-10,4.0
4825,mks.weeklypresence,717,2010-01-17,8.0
4826,mks.weeklypresence,717,2010-01-24,8.0
4827,mks.weeklypresence,717,2010-01-31,11.0
4828,mks.weeklypresence,717,2010-02-07,17.0
4829,mks.weeklypresence,717,2010-02-14,16.0
4830,mks.weeklypresence,717,2010-02-21,7.0
4831,mks.weeklypresence,717,2010-02-28,8.0
4832,mks.weeklypresence,717,2010-03-07,11.0
4833,mks.weeklypresence,717,2010-03-14,7.0
4834,mks.weeklypresence,717,2010-03-21,0.0
4835,mks.weeklypresence,717,2010-04-04,0.0
4836,mks.weeklypresence,717,2010-04-11,2.0
4837,mks.weeklypresence,717,2010-04-18,0.0
4838,mks.weeklypresence,717,2010-04-25,3.0
4839,mks.weeklypresence,717,2010-05-02,12.0
4840,mks.weeklypresence,717,2010-05-09,8.0
4841,mks.weeklypresence,717,2010-05-16,3.0
4842,mks.weeklypresence,832,2009-11-15,12.0
4843,mks.weeklypresence,832,2009-11-29,7.0
4844,mks.weeklypresence,832,2009-12-13,9.0
4845,mks.weeklypresence,832,2009-12-20,24.0
4846,mks.weeklypresence,832,2009-12-27,7.0
4847,mks.weeklypresence,832,2010-01-03,25.0
4848,mks.weeklypresence,832,2010-01-10,9.0
4849,mks.weeklypresence,832,2010-01-17,13.0
4850,mks.weeklypresence,832,2010-01-24,40.0
4851,mks.weeklypresence,832,2010-01-31,17.0
4852,mks.weeklypresence,832,2010-02-07,31.0
4853,mks.weeklypresence,832,2010-02-14,18.0
4854,mks.weeklypresence,832,2010-02-21,27.0
4855,mks.weeklypresence,832,2010-02-28,10.0
4856,mks.weeklypresence,832,2010-03-07,21.0
4857,mks.weeklypresence,832,2010-03-14,32.0
4858,mks.weeklypresence,832,2010-03-21,0.0
4859,mks.weeklypresence,832,2010-04-04,0.0
4860,mks.weeklypresence,832,2010-04-11,0.0
4861,mks.weeklypresence,832,2010-04-18,0.0
4862,mks.weeklypresence,832,2010-04-25,23.0
4863,mks.weeklypresence,832,2010-05-02,17.0
4864,mks.weeklypresence,832,2010-05-09,20.0
4865,mks.weeklypresence,832,2010-05-16,9.0
4866,mks.weeklypresence,208,2009-11-15,22.0
4867,mks.weeklypresence,208,2009-11-29,6.0
4868,mks.weeklypresence,208,2009-12-13,12.0
4869,mks.weeklypresence,208,2009-12-20,17.0
4870,mks.weeklypresence,208,2009-12-27,7.0
4871,mks.weeklypresence,208,2010-01-03,28.0
4872,mks.weeklypresence,208,2010-01-10,0.0
4873,mks.weeklypresence,208,2010-01-17,28.0
4874,mks.weeklypresence,208,2010-01-24,26.0
4875,mks.weeklypresence,208,2010-01-31,16.0
4876,mks.weeklypresence,208,2010-02-07,38.0
4877,mks.weeklypresence,208,2010-02-14,27.0
4878,mks.weeklypresence,208,2010-02-21,25.0
4879,mks.weeklypresence,208,2010-02-28,16.0
4880,mks.weeklypresence,208,2010-03-07,21.0
4881,mks.weeklypresence,208,2010-03-14,31.0
4882,mks.weeklypresence,208,2010-03-21,0.0
4883,mks.weeklypresence,208,2010-04-04,4.0
4884,mks.weeklypresence,208,2010-04-11,17.0
4885,mks.weeklypresence,208,2010-04-18,0.0
4886,mks.weeklypresence,208,2010-04-25,14.0
4887,mks.weeklypresence,208,2010-05-02,26.0
4888,mks.weeklypresence,208,2010-05-09,13.0
4889,mks.weeklypresence,208,2010-05-16,5.0
4890,mks.weeklypresence,230,2009-11-15,27.0
4891,mks.weeklypresence,230,2009-11-29,0.0
4892,mks.weeklypresence,230,2009-12-13,8.0
4893,mks.weeklypresence,230,2009-12-20,21.0
4894,mks.weeklypresence,230,2009-12-27,9.0
4895,mks.weeklypresence,230,2010-01-03,22.0
4896,mks.weeklypresence,230,2010-01-10,27.0
4897,mks.weeklypresence,230,2010-01-17,10.0
4898,mks.weeklypresence,230,2010-01-24,16.0
4899,mks.weeklypresence,230,2010-01-31,16.0
4900,mks.weeklypresence,230,2010-02-07,17.0
4901,mks.weeklypresence,230,2010-02-14,12.0
4902,mks.weeklypresence,230,2010-02-21,9.0
4903,mks.weeklypresence,230,2010-02-28,12.0
4904,mks.weeklypresence,230,2010-03-07,15.0
4905,mks.weeklypresence,230,2010-03-14,20.0
4906,mks.weeklypresence,230,2010-03-21,0.0
4907,mks.weeklypresence,230,2010-04-04,17.0
4908,mks.weeklypresence,230,2010-04-11,5.0
4909,mks.weeklypresence,230,2010-04-18,0.0
4910,mks.weeklypresence,230,2010-04-25,10.0
4911,mks.weeklypresence,230,2010-05-02,16.0
4912,mks.weeklypresence,230,2010-05-09,14.0
4913,mks.weeklypresence,230,2010-05-16,7.0
4914,mks.weeklypresence,200,2009-11-15,26.0
4915,mks.weeklypresence,200,2009-11-29,7.0
4916,mks.weeklypresence,200,2009-12-13,0.0
4917,mks.weeklypresence,200,2009-12-20,29.0
4918,mks.weeklypresence,200,2009-12-27,0.0
4919,mks.weeklypresence,200,2010-01-03,21.0
4920,mks.weeklypresence,200,2010-01-10,15.0
4921,mks.weeklypresence,200,2010-01-17,16.0
4922,mks.weeklypresence,200,2010-01-24,50.0
4923,mks.weeklypresence,200,2010-01-31,20.0
4924,mks.weeklypresence,200,2010-02-07,23.0
4925,mks.weeklypresence,200,2010-02-14,20.0
4926,mks.weeklypresence,200,2010-02-21,21.0
4927,mks.weeklypresence,200,2010-02-28,16.0
4928,mks.weeklypresence,200,2010-03-07,24.0
4929,mks.weeklypresence,200,2010-03-14,41.0
4930,mks.weeklypresence,200,2010-03-21,0.0
4931,mks.weeklypresence,200,2010-04-04,0.0
4932,mks.weeklypresence,200,2010-04-11,16.0
4933,mks.weeklypresence,200,2010-04-18,5.0
4934,mks.weeklypresence,200,2010-04-25,28.0
4935,mks.weeklypresence,200,2010-05-02,18.0
4936,mks.weeklypresence,200,2010-05-09,20.0
4937,mks.weeklypresence,200,2010-05-16,9.0
4938,mks.weeklypresence,64,2009-11-15,33.0
4939,mks.weeklypresence,64,2009-11-29,8.0
4940,mks.weeklypresence,64,2009-12-13,18.0
4941,mks.weeklypresence,64,2009-12-20,18.0
4942,mks.weeklypresence,64,2009-12-27,8.0
4943,mks.weeklypresence,64,2010-01-03,26.0
4944,mks.weeklypresence,64,2010-01-10,0.0
4945,mks.weeklypresence,64,2010-01-17,0.0
4946,mks.weeklypresence,64,2010-01-24,0.0
4947,mks.weeklypresence,64,2010-01-31,20.0
4948,mks.weeklypresence,64,2010-02-07,38.0
4949,mks.weeklypresence,64,2010-02-14,35.0
4950,mks.weeklypresence,64,2010-02-21,19.0
4951,mks.weeklypresence,64,2010-02-28,20.0
4952,mks.weeklypresence,64,2010-03-07,24.0
4953,mks.weeklypresence,64,2010-03-14,35.0
4954,mks.weeklypresence,64,2010-03-21,11.0
4955,mks.weeklypresence,64,2010-04-04,23.0
4956,mks.weeklypresence,64,2010-04-11,4.0
4957,mks.weeklypresence,64,2010-04-18,8.0
4958,mks.weeklypresence,64,2010-04-25,24.0
4959,mks.weeklypresence,64,2010-05-02,25.0
4960,mks.weeklypresence,64,2010-05-09,17.0
4961,mks.weeklypresence,64,2010-05-16,14.0
4962,mks.weeklypresence,730,2009-11-15,13.0
4963,mks.weeklypresence,730,2009-11-29,0.0
4964,mks.weeklypresence,730,2009-12-13,8.0
4965,mks.weeklypresence,730,2009-12-20,11.0
4966,mks.weeklypresence,730,2009-12-27,0.0
4967,mks.weeklypresence,730,2010-01-03,15.0
4968,mks.weeklypresence,730,2010-01-10,15.0
4969,mks.weeklypresence,730,2010-01-17,16.0
4970,mks.weeklypresence,730,2010-01-24,22.0
4971,mks.weeklypresence,730,2010-01-31,11.0
4972,mks.weeklypresence,730,2010-02-07,24.0
4973,mks.weeklypresence,730,2010-02-14,6.0
4974,mks.weeklypresence,730,2010-02-21,13.0
4975,mks.weeklypresence,730,2010-02-28,17.0
4976,mks.weeklypresence,730,2010-03-07,13.0
4977,mks.weeklypresence,730,2010-03-14,26.0
4978,mks.weeklypresence,730,2010-03-21,0.0
4979,mks.weeklypresence,730,2010-04-04,0.0
4980,mks.weeklypresence,730,2010-04-11,0.0
4981,mks.weeklypresence,730,2010-04-18,0.0
4982,mks.weeklypresence,730,2010-04-25,15.0
4983,mks.weeklypresence,730,2010-05-02,6.0
4984,mks.weeklypresence,730,2010-05-09,12.0
4985,mks.weeklypresence,730,2010-05-16,9.0
4986,mks.weeklypresence,63,2009-11-15,11.0
4987,mks.weeklypresence,63,2009-11-29,0.0
4988,mks.weeklypresence,63,2009-12-13,6.0
4989,mks.weeklypresence,63,2009-12-20,7.0
4990,mks.weeklypresence,63,2009-12-27,4.0
4991,mks.weeklypresence,63,2010-01-03,8.0
4992,mks.weeklypresence,63,2010-01-10,10.0
4993,mks.weeklypresence,63,2010-01-17,6.0
4994,mks.weeklypresence,63,2010-01-24,0.0
4995,mks.weeklypresence,63,2010-01-31,5.0
4996,mks.weeklypresence,63,2010-02-07,8.0
4997,mks.weeklypresence,63,2010-02-14,2.0
4998,mks.weeklypresence,63,2010-02-21,3.0
4999,mks.weeklypresence,63,2010-02-28,7.0
5000,mks.weeklypresence,63,2010-03-07,13.0
5001,mks.weeklypresence,63,2010-03-14,18.0
5002,mks.weeklypresence,63,2010-03-21,0.0
5003,mks.weeklypresence,63,2010-04-04,0.0
5004,mks.weeklypresence,63,2010-04-11,0.0
5005,mks.weeklypresence,63,2010-04-18,0.0
5006,mks.weeklypresence,63,2010-04-25,10.0
5007,mks.weeklypresence,63,2010-05-02,11.0
5008,mks.weeklypresence,63,2010-05-09,0.0
5009,mks.weeklypresence,63,2010-05-16,0.0
5010,mks.weeklypresence,785,2009-11-15,29.0
5011,mks.weeklypresence,785,2009-11-29,10.0
5012,mks.weeklypresence,785,2009-12-13,20.0
5013,mks.weeklypresence,785,2009-12-20,34.0
5014,mks.weeklypresence,785,2009-12-27,0.0
5015,mks.weeklypresence,785,2010-01-03,30.0
5016,mks.weeklypresence,785,2010-01-10,24.0
5017,mks.weeklypresence,785,2010-01-17,22.0
5018,mks.weeklypresence,785,2010-01-24,0.0
5019,mks.weeklypresence,785,2010-01-31,24.0
5020,mks.weeklypresence,785,2010-02-07,37.0
5021,mks.weeklypresence,785,2010-02-14,26.0
5022,mks.weeklypresence,785,2010-02-21,28.0
5023,mks.weeklypresence,785,2010-02-28,21.0
5024,mks.weeklypresence,785,2010-03-07,31.0
5025,mks.weeklypresence,785,2010-03-14,46.0
5026,mks.weeklypresence,785,2010-03-21,5.0
5027,mks.weeklypresence,785,2010-04-04,5.0
5028,mks.weeklypresence,785,2010-04-11,6.0
5029,mks.weeklypresence,785,2010-04-18,0.0
5030,mks.weeklypresence,785,2010-04-25,29.0
5031,mks.weeklypresence,785,2010-05-02,24.0
5032,mks.weeklypresence,785,2010-05-09,27.0
5033,mks.weeklypresence,785,2010-05-16,7.0
5034,mks.weeklypresence,210,2009-11-15,28.0
5035,mks.weeklypresence,210,2009-11-29,0.0
5036,mks.weeklypresence,210,2009-12-13,0.0
5037,mks.weeklypresence,210,2009-12-20,30.0
5038,mks.weeklypresence,210,2009-12-27,3.0
5039,mks.weeklypresence,210,2010-01-03,27.0
5040,mks.weeklypresence,210,2010-01-10,26.0
5041,mks.weeklypresence,210,2010-01-17,24.0
5042,mks.weeklypresence,210,2010-01-24,0.0
5043,mks.weeklypresence,210,2010-01-31,23.0
5044,mks.weeklypresence,210,2010-02-07,35.0
5045,mks.weeklypresence,210,2010-02-14,25.0
5046,mks.weeklypresence,210,2010-02-21,28.0
5047,mks.weeklypresence,210,2010-02-28,20.0
5048,mks.weeklypresence,210,2010-03-07,28.0
5049,mks.weeklypresence,210,2010-03-14,47.0
5050,mks.weeklypresence,210,2010-03-21,0.0
5051,mks.weeklypresence,210,2010-04-04,5.0
5052,mks.weeklypresence,210,2010-04-11,7.0
5053,mks.weeklypresence,210,2010-04-18,0.0
5054,mks.weeklypresence,210,2010-04-25,27.0
5055,mks.weeklypresence,210,2010-05-02,27.0
5056,mks.weeklypresence,210,2010-05-09,30.0
5057,mks.weeklypresence,210,2010-05-16,13.0
5058,mks.weeklypresence,834,2009-11-15,35.0
5059,mks.weeklypresence,834,2009-11-29,2.0
5060,mks.weeklypresence,834,2009-12-13,16.0
5061,mks.weeklypresence,834,2009-12-20,24.0
5062,mks.weeklypresence,834,2009-12-27,18.0
5063,mks.weeklypresence,834,2010-01-03,24.0
5064,mks.weeklypresence,834,2010-01-10,26.0
5065,mks.weeklypresence,834,2010-01-17,22.0
5066,mks.weeklypresence,834,2010-01-24,35.0
5067,mks.weeklypresence,834,2010-01-31,14.0
