pk,model,content_type,object_id
27,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",905
18,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",45
47,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",825
4,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",213
19,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",860
9,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",114
16,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",889
54,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",720
41,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",886
51,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",782
65,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",70
67,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",823
71,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",92
72,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",78
73,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",739
74,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",842
75,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",870
76,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",845
77,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",884
78,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",863
79,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",63
80,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",20
81,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",768
82,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",893
83,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",212
84,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",837
85,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",695
86,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",790
87,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",826
88,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",119
89,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",197
90,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",985
91,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",206
92,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",77
93,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",869
94,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",892
95,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",879
96,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",859
97,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",883
98,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",871
